ESTACAO,lat,lon,lvl,week,precipitation_avg,precipitation_max
A601,-22.8,-43.68333333,33.0,201804,1.257142857142857,8.2
A601,-22.8,-43.68333333,33.0,201805,0.9428571428571428,4.0
A601,-22.8,-43.68333333,33.0,201806,3.7142857142857135,8.8
A601,-22.8,-43.68333333,33.0,201807,1.6285714285714286,4.6
A601,-22.8,-43.68333333,33.0,201808,2.4857142857142853,12.0
A601,-22.8,-43.68333333,33.0,201809,3.885714285714286,19.0
A601,-22.8,-43.68333333,33.0,201810,1.6857142857142855,9.8
A601,-22.8,-43.68333333,33.0,201811,1.0571428571428572,4.2
A601,-22.8,-43.68333333,33.0,201812,0.0,0.0
A601,-22.8,-43.68333333,33.0,201813,4.942857142857143,13.4
A601,-22.8,-43.68333333,33.0,201814,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201815,2.1142857142857143,10.2
A601,-22.8,-43.68333333,33.0,201816,0.0571428571428571,0.4
A601,-22.8,-43.68333333,33.0,201817,0.0,0.0
A601,-22.8,-43.68333333,33.0,201818,0.8,5.0
A601,-22.8,-43.68333333,33.0,201819,4.142857142857143,22.0
A601,-22.8,-43.68333333,33.0,201820,0.6571428571428573,4.4
A601,-22.8,-43.68333333,33.0,201821,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201822,0.3428571428571428,1.2
A601,-22.8,-43.68333333,33.0,201823,0.7999999999999999,3.6
A601,-22.8,-43.68333333,33.0,201824,0.3142857142857143,2.0
A601,-22.8,-43.68333333,33.0,201825,0.0,0.0
A601,-22.8,-43.68333333,33.0,201826,1.0,7.0
A601,-22.8,-43.68333333,33.0,201827,0.5142857142857143,3.0
A601,-22.8,-43.68333333,33.0,201828,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201829,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201830,1.5714285714285714,4.0
A601,-22.8,-43.68333333,33.0,201831,1.3714285714285717,8.8
A601,-22.8,-43.68333333,33.0,201832,0.0571428571428571,0.4
A601,-22.8,-43.68333333,33.0,201833,0.0,0.0
A601,-22.8,-43.68333333,33.0,201834,0.1142857142857143,0.6
A601,-22.8,-43.68333333,33.0,201835,1.2,8.4
A601,-22.8,-43.68333333,33.0,201836,2.0285714285714285,9.0
A601,-22.8,-43.68333333,33.0,201837,1.9714285714285715,12.8
A601,-22.8,-43.68333333,33.0,201838,1.6,4.6
A601,-22.8,-43.68333333,33.0,201839,2.1714285714285717,8.6
A601,-22.8,-43.68333333,33.0,201840,3.5142857142857147,16.6
A601,-22.8,-43.68333333,33.0,201841,2.314285714285714,9.0
A601,-22.8,-43.68333333,33.0,201842,0.7714285714285715,4.4
A601,-22.8,-43.68333333,33.0,201843,0.1142857142857143,0.8
A601,-22.8,-43.68333333,33.0,201844,3.457142857142857,11.4
A601,-22.8,-43.68333333,33.0,201845,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201846,2.4,8.2
A601,-22.8,-43.68333333,33.0,201847,8.257142857142856,55.8
