week,predicted_precipitation_avg,predicted_precipitation_max,CITY,precipitation_avg,precipitation_max
201612,4.1259,14.0311,Angra Dos Reis,4.1259,14.0311
201613,0.7561,4.1966,Angra Dos Reis,0.7561,4.1966
201614,0.0459,0.3055,Angra Dos Reis,0.0459,0.3055
201615,0.0398,0.2095,Angra Dos Reis,0.0398,0.2095
201616,0.0012,0.035,Angra Dos Reis,0.0012,0.035
201617,0.7257,3.4155,Angra Dos Reis,0.7257,3.4155
201618,0.0118,0.1508,Angra Dos Reis,0.0118,0.1508
201619,0.9081,4.9425,Angra Dos Reis,0.9081,4.9425
201620,1.3385,5.4206,Angra Dos Reis,1.3385,5.4206
201621,0.7661,4.0549,Angra Dos Reis,0.7661,4.0549
201622,1.7535,5.9235,Angra Dos Reis,1.7535,5.9235
201623,3.1579,12.1158,Angra Dos Reis,3.1579,12.1158
201624,0.0308,0.1281,Angra Dos Reis,0.0308,0.1281
201625,0.4093,1.2443,Angra Dos Reis,0.4093,1.2443
201626,0.1259,0.6825,Angra Dos Reis,0.1259,0.6825
201627,0.0216,0.1215,Angra Dos Reis,0.0216,0.1215
201628,0.0192,0.0815,Angra Dos Reis,0.0192,0.0815
201629,0.1381,0.5207,Angra Dos Reis,0.1381,0.5207
201630,0.2614,1.9361,Angra Dos Reis,0.2614,1.9361
201631,0.2263,1.298,Angra Dos Reis,0.2263,1.298
201632,0.3337,1.9045,Angra Dos Reis,0.3337,1.9045
201633,0.4018,1.8359,Angra Dos Reis,0.4018,1.8359
201634,0.653,4.3676,Angra Dos Reis,0.653,4.3676
201635,1.2595,5.0628,Angra Dos Reis,1.2595,5.0628
201636,0.362,1.8149,Angra Dos Reis,0.362,1.8149
201637,0.2946,1.5388,Angra Dos Reis,0.2946,1.5388
201638,1.0693,4.2058,Angra Dos Reis,1.0693,4.2058
201639,1.0232,3.6927,Angra Dos Reis,1.0232,3.6927
201640,1.947,6.1766,Angra Dos Reis,1.947,6.1766
201641,1.6352,3.6333,Angra Dos Reis,1.6352,3.6333
201642,0.1833,0.9886,Angra Dos Reis,0.1833,0.9886
201643,1.0319,4.5628,Angra Dos Reis,1.0319,4.5628
201644,2.8525,13.929,Angra Dos Reis,2.8525,13.929
201645,3.6412,14.3961,Angra Dos Reis,3.6412,14.3961
201646,6.2265,18.675,Angra Dos Reis,6.2265,18.675
201647,0.4038,1.9477,Angra Dos Reis,0.4038,1.9477
201648,0.8815,4.9267,Angra Dos Reis,0.8815,4.9267
201649,3.6206,14.3796,Angra Dos Reis,3.6206,14.3796
